,loading,attribute_0,attribute_1,attribute_2,attribute_3,measurement_0,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,measurement_16,measurement_17,failure
2506,-0.265179168166161,7.0,8.0,9,5,0.1666666666666666,-0.1666666666666666,-0.5,1.052399543062029,1.1361607142857142,-0.1673330861105363,-0.5102385872628239,1.1755019518580083,0.536309626524297,0.0153984501152586,0.3301883319166344,0.7918388429752055,0.0453308848749513,0.0164693690682863,-0.2640193333158128,-0.3424604704974933,-0.9509819901594404,0.5220427935159855,0.0
25459,0.0251915068634002,7.0,6.0,6,9,0.3333333333333333,-0.5,0.25,0.657328594593022,1.4166666666666672,0.4014526232564162,-0.2870561713319571,1.3646616541353398,0.1685105127872206,0.5381978697436465,0.4561270956370271,0.1740702479338841,-0.681458003169573,0.9512046845142604,0.1238434635179587,-0.6329862450186395,0.9032075394689671,0.9145066854306316,0.0
4562,-0.6598118348671017,7.0,8.0,9,5,1.6666666666666667,-1.0,-1.25,0.1890686991486608,-1.267857142857144,-0.3075112415803261,-0.1247416870185989,0.3812030075187972,0.3591007094355525,-0.7477336891917145,0.798125940235524,0.7107457119217656,-0.2461701003697841,-0.7725081508736993,2.303262988583921,0.8438102583879663,-0.3096325247580735,-0.0368112637224715,0.0
4352,1.4305691224101584,7.0,8.0,9,5,0.6666666666666666,-0.8333333333333334,0.5,0.7977318806273779,-0.484375,-0.0447689397050115,-0.1795979710689469,0.4278195488721816,-0.9991408904624104,-0.0339717428766865,-0.4739711134906446,1.0475206611570242,1.3740095087163235,1.1977601594961311,-0.5621723676166048,0.0236534258902169,1.3016284301329226,-0.6830646511792259,0.0
17021,0.2203485681970078,7.0,5.0,6,6,0.1666666666666666,0.1666666666666666,0.5,-1.1462561701567926,0.6540178571428571,-1.2241736299665482,-1.5419876009768958,-0.3511278195488717,0.977225431546452,-0.1043876815871514,-0.2047625635195292,-0.3171487603305789,0.0470153195985201,-0.4266053227373687,-0.6940984889886365,-0.3234348888031877,0.9356581097492888,-1.750398298952362,0.0
497,-0.286566243380803,7.0,8.0,9,5,1.3333333333333333,0.0,0.0,-0.3015959759820342,0.2373511904761898,-0.2524674632544926,0.1066426818518899,0.5338345864661668,-0.0464082464446852,0.4477035731656998,-0.3370560355010433,0.4808884297520648,1.7791864764923404,-0.4389330964864631,-0.4814335813369213,-1.4372027252860258,0.5169556126601329,-0.0033400267017773,0.0
13570,-0.3873322708344042,7.0,8.0,5,8,1.3333333333333333,-0.3333333333333333,-0.5,-0.3583547511874118,-0.8169642857142866,-1.089132893807168,-0.0646252113469864,0.1293233082706773,0.7970186368640299,-0.0615739730147344,-0.0892224133173345,0.0428719008264454,-1.896460644479663,0.0121183900980191,-0.4365787000704301,0.5589407378840464,0.225088821730951,0.1406529183752171,0.0
2646,0.0591229242712456,7.0,8.0,9,5,0.1666666666666666,-1.0,0.75,-1.0207894039133276,1.051374076615716,-0.9673026644459888,0.6868307345481864,0.2458646616541356,1.3509329647813122,0.9716579457892742,-0.3942484098511289,-0.0619834710743806,-0.0335186760617708,-0.4041252647243166,0.3602550730166395,0.0678750482067101,-0.6300819062762549,0.7062942757104473,0.0
11150,0.0171713536579094,7.0,8.0,5,8,1.5,-0.8333333333333334,-1.0,-1.4748596055563443,0.0394345238095231,-0.2129013812186788,0.7852714634604542,0.0293233082706765,-1.51612759651854,-0.1994447158076838,-0.2671542446287149,0.7830578512396685,0.1975699947173793,-0.9414711675524522,-1.255048357062514,1.3672708574366874,1.6621903221365024,-1.2544826876306856,0.0
10873,-0.876972906277312,7.0,8.0,5,8,1.1666666666666667,0.0,-1.0,-0.986435408394284,-1.1964285714285725,-0.4838922713837148,0.0856659778320476,0.4917293233082712,0.2357187845745184,-0.1598144788472007,-0.3139480054606037,0.911157024793388,-1.054939249867935,0.1549755329551612,0.8557695848899901,0.51369070574624,0.0775208067807698,0.0837096112571503,0.0
