,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,AgeGroup,Expenditure,NoSpending,Group,GroupSize,Solo,CabinDeck,CabinNum,CabinSide,CabinRegion_1,CabinRegion_2,CabinRegion_3,CabinRegion_4,CabinRegion_5,CabinRegion_6,CabinRegion_7,CabinRegion,FamilySize
0,0001_01,Europa,False,B/0/P,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,Age_36-50,0.0,1,1,1,1,B,0.0,P,1,0,0,0,0,0,0,1.0,4
1,0002_01,Earth,False,F/0/S,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,Age_19-35,736.0,0,2,1,1,F,0.0,S,1,0,0,0,0,0,0,1.0,4
2,0003_01,Europa,False,A/0/S,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Age_51+,10383.0,0,3,2,0,A,0.0,S,1,0,0,0,0,0,0,1.0,7
3,0003_02,Europa,False,A/0/S,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Age_19-35,5176.0,0,3,2,0,A,0.0,S,1,0,0,0,0,0,0,1.0,7
4,0004_01,Earth,False,F/1/S,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,Age_0-18,1091.0,0,4,1,1,F,1.0,S,1,0,0,0,0,0,0,1.0,9
5,0005_01,Earth,False,F/0/P,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,Age_36-50,774.0,0,5,1,1,F,0.0,P,1,0,0,0,0,0,0,1.0,10
6,0006_01,Earth,False,F/2/S,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,Age_19-35,1584.0,0,6,2,0,F,2.0,S,1,0,0,0,0,0,0,1.0,9
7,0006_02,Earth,True,G/0/S,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Age_19-35,0.0,1,6,2,0,G,0.0,S,1,0,0,0,0,0,0,1.0,9
8,0007_01,Earth,False,F/3/S,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,Age_19-35,1018.0,0,7,1,1,F,3.0,S,1,0,0,0,0,0,0,1.0,5
9,0008_01,Europa,True,B/1/P,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Age_0-18,0.0,1,8,3,0,B,1.0,P,1,0,0,0,0,0,0,1.0,3
10,0008_02,Europa,True,B/1/P,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,Age_19-35,0.0,1,8,3,0,B,1.0,P,1,0,0,0,0,0,0,1.0,3
11,0008_03,Europa,False,B/1/P,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,Age_36-50,8157.0,0,8,3,0,B,1.0,P,1,0,0,0,0,0,0,1.0,3
12,0009_01,Mars,False,F/1/P,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,Age_19-35,1309.0,0,9,1,1,F,1.0,P,1,0,0,0,0,0,0,1.0,4
13,0010_01,Earth,False,G/1/S,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,Age_36-50,809.0,0,10,1,1,G,1.0,S,1,0,0,0,0,0,0,1.0,6
14,0011_01,Earth,False,F/2/P,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,Age_19-35,1003.0,0,11,1,1,F,2.0,P,1,0,0,0,0,0,0,1.0,9
15,0012_01,Earth,False,Z/9999/Z,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,Age_19-35,908.0,0,12,1,1,G,-2.0,S,1,0,0,0,0,0,0,1.0,12
16,0014_01,Mars,False,F/3/P,55 Cancri e,27.0,False,1286.0,122.0,318.99500624219723,0.0,0.0,Age_19-35,1726.9950062421972,0,14,1,1,F,3.0,P,1,0,0,0,0,0,0,1.0,2
17,0015_01,Earth,False,F/4/P,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,Age_19-35,638.0,0,15,1,1,F,4.0,P,1,0,0,0,0,0,0,1.0,9
18,0016_01,Mars,True,F/5/P,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,Age_36-50,0.0,1,16,1,1,F,5.0,P,1,0,0,0,0,0,0,1.0,7
19,0017_01,Earth,False,G/0/P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Age_0-18,0.0,1,17,2,0,G,0.0,P,1,0,0,0,0,0,0,1.0,8
20,0017_02,Earth,False,F/6/P,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,Age_0-18,1092.0,0,17,2,0,F,6.0,P,1,0,0,0,0,0,0,1.0,8
21,0020_01,Earth,True,E/0/S,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,Age_0-18,0.0,1,20,6,0,E,0.0,S,1,0,0,0,0,0,0,1.0,8
22,0020_02,Earth,True,E/0/S,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,Age_36-50,0.0,1,20,6,0,E,0.0,S,1,0,0,0,0,0,0,1.0,8
23,0020_03,Earth,True,E/0/S,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,Age_19-35,0.0,1,20,6,0,E,0.0,S,1,0,0,0,0,0,0,1.0,7
