PassengerId,CryoSleep,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Expenditure,NoSpending,Group,GroupSize,Solo,CabinRegion_1,CabinRegion_2,CabinRegion_3,CabinRegion_4,CabinRegion_5,CabinRegion_6,CabinRegion_7,FamilySize,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,CabinSide_P,CabinSide_S,CabinSide_Z,CabinDeck_A,CabinDeck_B,CabinDeck_C,CabinDeck_D,CabinDeck_E,CabinDeck_F,CabinDeck_G,CabinDeck_T,AgeEncoded
0001_01,0,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,1,1,1,1,0,0,0,0,0,0,4,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3.0
0002_01,0,0,-0.17245474800184754,-0.27822626461926864,-0.2455620044464256,0.21396518752646115,-0.22703340889138135,-0.25658159814201864,0,2,1,1,1,0,0,0,0,0,0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2.0
0003_01,0,1,-0.27240850546126244,1.9566433495195388,-0.2873829429551493,5.692511954386446,-0.22262460224094724,3.1745957912176115,0,3,2,0,1,0,0,0,0,0,0,7,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,4.0
0003_02,0,0,-0.3375298928969419,0.5199862076018809,0.3332397845143109,2.6840203305479915,-0.09565097070844435,1.3226065026931382,0,3,2,0,1,0,0,0,0,0,0,7,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2.0
0004_01,0,0,0.12134872089400847,-0.2400073000937662,-0.034784474362457955,0.22818133223449874,-0.264067384755028,-0.1303176846743428,0,4,1,1,1,0,0,0,0,0,0,9,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1.0
0005_01,0,0,-0.3375298928969419,0.01875388595594712,-0.2873829429551493,-0.015270145890644893,-0.26583090741520166,-0.24306602430604204,0,5,1,1,1,0,0,0,0,0,0,10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3.0
0006_01,0,0,-0.27392295633185965,0.6803805505285797,-0.28236443033410247,-0.2738262777680785,-0.26583090741520166,0.04502910219766901,0,6,2,0,1,0,0,0,0,0,0,9,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2.0
0006_02,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,6,2,0,1,0,0,0,0,0,0,9,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2.0
0007_01,0,0,-0.3375298928969419,0.20796908737728714,-0.25894470476921716,-0.08190832420957107,-0.26583090741520166,-0.15628181335924513,0,7,1,1,1,0,0,0,0,0,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2.0
0008_01,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,8,3,0,1,0,0,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1.0
